topic,priority,difficulty,weight
Percentages,Very High,Easy-Medium,10
Profit and Loss,Very High,Easy-Medium,10
Ratio and Proportion,Very High,Easy-Medium,10
Average,Very High,Easy,10
Time and Work,Very High,Medium,10
Time Speed Distance,Very High,Medium,10
Simple Interest,High,Easy,9
Compound Interest,Medium,Medium,7
Mixtures and Alligations,Medium,Medium,7
Probability,Medium,Medium,7
Permutation and Combination,Low,Medium,5
Number System,High,Easy-Medium,8
HCF and LCM,High,Easy,8
Simplification,Very High,Easy,10
Data Interpretation,High,Medium,8
Ages,Medium,Easy,7
Pipes and Cisterns,Medium,Medium,6
Boats and Streams,Low,Medium,5